ID,VINÍCOLA,VINHO,URL,Uva,SAFRA,TIPO,PREÇO,RADAR,COMENTÁRIO,GUARDAR OU BEBER?,Para quem é este vinho?,Categoria Vinho,IMPORTADORA,PAÍS,REGIÃO,STATUS,IMAGEM
,Arte da Vinha,Arte da Vinha Hidro Vin de Soif,https://glouglou.com.br/products/arte-da-vinha-hidro-vin-de-soif,Pinot Noir,,Tinto,280.0,TRUE,"Rubi claro e translúcido, já indicando a proposta leve. O nariz é solto, com fruta vermelha fresca, algo entre cereja e morango, e um toque herbal que deixa o conjunto mais vivo. Em boca é direto e descomplicado, corpo leve, acidez vibrante e taninos quase imperceptíveis. Tudo gira em torno da fluidez e da facilidade de beber. Final seco, curto a médio, convidando naturalmente ao próximo gole.",Beber,Natureba,Refrescante,011import,Brasil,Serra Gaúcha,Curadoria,https://drive.google.com/file/d/17AUvCEF_V3qFRe5Z4xTVwWMJVZGYix2r/view?usp=drivesdk
,Arte Líquida,Arte Líquida Pinot Noir Encruzilhada do Sul 2024,https://loja.intelivino.com.br/a-loja-do-elefante/label/ba395a8e-c949-4c8c-bfab-03815f02e84c,Pinot Noir,2024,Tinto,159.0,TRUE,"Rubi claro, brilhante. O nariz revela morango fresco, framboesa, cereja jovem e leve toque floral. Em boca, a acidez é alta, trazendo vivacidade, com taninos muito delicados, quase imperceptíveis. A fruta é pura e fresca, com centro de boca leve e linear. O final é seco, direto, com persistência média e perfil nitidamente gastronômico.",Beber,Curioso,Batalha,A Loja do Elefante,Brasil,Serra Gaúcha,Curadoria,https://drive.google.com/file/d/1-JY-KZPGQLKX0kIN2lZ21BzN3HJEV_zu/view?usp=drivesdk
,Arte Líquida,Arte Líquida Pinot Noir Encruzilhada do Sul 2024,https://www.arteliquidavinhos.com.br/pinot-noir-encruzilhada-do-sul-2024,Pinot Noir,2024,Tinto,160.0,TRUE,"Rubi claro, brilhante. O nariz revela morango fresco, framboesa, cereja jovem e leve toque floral. Em boca, a acidez é alta, trazendo vivacidade, com taninos muito delicados, quase imperceptíveis. A fruta é pura e fresca, com centro de boca leve e linear. O final é seco, direto, com persistência média e perfil nitidamente gastronômico.",Beber,Curioso,Batalha,Arte Líquida,Brasil,Serra Gaúcha,Curadoria,https://drive.google.com/file/d/1yXag9O3IqICcjE_rFPOfMj9A1yzCHuMt/view?usp=drivesdk
,Atelier Tormentas,Atelier Tormentas Monte Alegre Pinot Noir 2016,https://glouglou.com.br/products/atelier-tormentas-monte-alegre-pinot-noir-2016,Pinot Noir,2016,Tinto,750.0,TRUE,"No visual, tem cor rubi translúcida, com reflexos acastanhados que já indicam certa evolução. No nariz, tem um perfil delicado e complexo de frutas vermelhas maduras, como cereja e framboesa, junto a notas terrosas. Folhas secas, cogumelos e um leve toque de especiarias doces. Há também uma nuance floral sutil, lembrando violeta. Em boca, é leve, mas com estrutura firme. Taninos finos e bem resolvidos se combinam a uma acidez viva que confere frescor.",Beber,Natureba,Contemplativo,011import,Brasil,Campos de Cima da Serra,Curadoria,https://drive.google.com/file/d/1DA5Be6r21UNrUGJdGvliGd18cqZcXAbK/view?usp=drivesdk
,Azienda Agricola Russolo,Azienda Agricola Russolo Mussignaz Müller-Thurgau 2023,https://cecconellovino.com.br/produto/mussignaz-i-g-t-trevenezie-muller-thurgau-2023/,Müller-Thurgau,2023,Branco,170.0,TRUE,"Cor translúcida amarela, tendendo para o verde. O nariz é intenso, convidativo. O que chama a atenção é a estrutura sem peso. Possui, sim, uma gordurinha agradável, macia, untuosa e ampla. Nada disso torna o vinho cansativo. Pelo contrário, mostra camadas de complexidade e peso que, somadas a uma fruta tropical amarela com cera, flor branca e um toque defumado, além de uma ponta de gengibre, fazem deste vinho algo altamente interessante. O final é curto, mas o prazer sentido no meio do palato justifica um vinho que entrega bastante prazer e um retrogosto com uma vírgula de álcool que integra todos os elementos.",Beber,Curioso,Batalha,Cecconello Vino,Itália,Friuli Venezia Giulia,Curadoria,https://drive.google.com/file/d/1LmoknJQYkpfuvOdxdi0UW11qe0Cndr2Y/view?usp=drivesdk
,Azienda Agricola Russolo,Azienda Agricola Russolo Ronco Calaj Sauvignon 2023,https://cecconellovino.com.br/produto/ronco-calaj-friuli-sauvignon-doc-2023/,Sauvignon,2023,Branco,170.0,TRUE,"Cor amarela com bastante reflexo esverdeado. O nariz é permeado por aspargo, azeitona e um toque de camomila. Características clássicas da casta, sem vulgaridade. A boca é muito bonita. O vinho possui textura, camadas; as frutas, todas presentes, não são vulgares, mas amplas. A fruta amarela é carnuda e viva. O final é agradável e presente. O vinho não possui um final longo, mas tampouco possui nenhuma aresta. Uma proposta muito bonita da uva, que combina frescor e presença.",Beber ou Guardar,Curioso,Refrescante,Cecconello Vino,Itália,Friuli Venezia Giulia,Curadoria,https://drive.google.com/file/d/150pwRsILqG3ketSvgN0ydzi1pTQxqNu5/view?usp=drivesdk
,Azienda Agricola Baldissero,Azienda Agricola Baldissero Barbaresco 2020,https://cecconellovino.com.br/produto/barbaresco-docg-2020/,Nebbiolo,2020,Tinto,398.0,TRUE,"A cor é vermelha brilhante, com reflexos amarelados, principalmente nos aros, indicando a uva. O nariz é um pouco quente, com cereja silvestre, cassis, sangue e um toque ferroso. A fruta vermelha, de excelente qualidade, é incrível, mas a estrutura é um pouco apavorante. A sensação é de um vinho com uma fruta pura, linda e carnuda, mas com uma estrutura de taninos enorme e um pouco excessiva. É como uma fruta de nova geração, pouco extraída e delicada, com taninos de velha guarda, que pede 30 anos. O retrogosto é muito agradável, mas sinto que o vinho precisa de muitos anos.",Guardar,Clássico,Contemplativo,Cecconello Vino,Itália,Piemonte,Curadoria,https://drive.google.com/file/d/1BqJRYv47LFBaz4Fk060bZAyc3kBoQRj9/view?usp=drivesdk
,Gianfranco Bovio,Gianfranco Bovio Barolo DOCG Gattera,https://cecconellovino.com.br/produto/barolo-docg-gaterra/,Nebbiolo,,Tinto,720.0,TRUE,"Cor vermelha tendendo para o amarelado. Brilho realmente impressionante. Pouco de alcaçuz, vivo, tanino superiores, vivos, clássico da casta mas muito fresco, muito fluido, muito interessante mesmo. Um Barolo que mostra bem como que um vinho pode ser verdadeiro ao terroir sem comprometer a acessibilidade e o frescor.",Guardar,Clássico,Pedigree,Cecconello Vino,Itália,Piemonte,Curadoria,https://drive.google.com/file/d/1AcsrWEByJUOcZilObPQiL0EC8f0vaZc3/view?usp=drivesdk
,C&G Boillot,C&G Boillot Meursault “Le Limozin” 2023,https://elevagebrasil.com/meursault-le-limozin-cg-boillot/,Chardonnay,2023,Branco,2999.9,TRUE,"Amarelo-claro. O nariz traz fruta branca madura, pêssego fresco, notas florais e um leve toque amanteigado. Em boca, a acidez é moderada, mas bem colocada, sustentando uma textura cremosa e confortável. O centro de boca tem amplitude e boa definição de fruta, com mineralidade discreta dando frescor ao conjunto. Final suave, elegante e muito equilibrado.",Guardar ou Beber,Curioso,Batalha,Élevage,França,Borgonha,Curadoria,https://drive.google.com/file/d/1U33hIIeZ1_IYTP19xPbjXx98NE3J83zO/view?usp=drivesdk
,C&G Boillot,C&G Boillot Puligny-Montrachet “Les Enseigneres” 2023,https://elevagebrasil.com/puligny-montrachet-les-enseigneres/,Chardonnay,2023,Branco,3619.9,TRUE,"Amarelo pálido com brilho. O nariz apresenta limão fresco, maçã verde, flor branca e mineralidade cristalina. Em boca, a acidez é tensa e vibrante, dando ao vinho uma estrutura vertical típica dos Puligny de altitude intermediária. A fruta é precisa, limpa e muito pura, com centro de boca estreito e altamente focado. A textura é fina, com toque salino que prolonga a persistência. Final marcado por energia e clareza.",Guardar,Nerd,Refrescante,Élevage,França,Borgonha,Curadoria,https://drive.google.com/file/d/1fYvYbq13GhYVAhUzr2hzXw7OwyQb0WYh/view?usp=drivesdk
,C&G Boillot,C&G Boillot Volnay 1er Cru “Les Champans” 2023,https://elevagebrasil.com/volnay-1er-cru-champans-cg-boillot/,Pinot Noir,2023,Tinto,2999.9,TRUE,"Rubi claro. O nariz mostra framboesa madura, cereja fresca, pétalas de rosa e nota mineral terrosa, tudo muito bem delineado. Em boca, a estrutura é mais firme que o esperado para o estilo delicado de Volnay, com taninos bem definidos e acidez fina que conduz o vinho verticalmente. O centro de boca é preciso, puro e elegante, com fruta límpida e vibrante. Final longo, floral e refinado.",Guardar,Nerd,Contemplativo,Élevage,França,Borgonha,Curadoria,https://drive.google.com/file/d/1yQJ7YUQq3HBB9sQHQkfICJ98jUWhUmj2/view?usp=drivesdk
,Casaretti,"Casaretti La Nogara ""Olte Longhe"" DOC Classico 2023",https://cecconellovino.com.br/produto/olte-longhe-bardolino-doc-classico-2022/,Corvina 80% e Rondinella 20%,2023,Tinto,198.0,TRUE,"Cor bonita, translúcida, vermelha sangue, com aro amarelado. O nariz parece um pouco mais quente, mesmo que expressivo e sanguíneo. Sinto um leve toque acético no nariz. A boca é potente, rica, viva. Na minha opinião, sobra um pouco de álcool, mas a vivacidade e o caráter animalesco, selvagem do vinho me agradam muito. É violeta, “uplifting”, com cereja ácida e mirtilo. Um pouco mais amplo que seu irmão de cima. Um vinho que pede alimento e, se o calor do álcool não incomodar, vai trazer alegria ao degustador.",Beber ou Guardar,Curioso,Batalha,Cecconello Vino,Itália,Vêneto,Curadoria,https://drive.google.com/file/d/1azOUHE_LHjtRPsNENJ1XkG_lVhXFhMjM/view?usp=drivesdk
,Cesare Bussolo,Cesare Bussolo Barolo DOCG Del Comuna di La Morra 2018,https://elevagebrasil.com/barolo-docg-la-morra/,Nebbiolo,2018,Tinto,1895.0,TRUE,"Com a cor clássica da casta e aros tendendo ao amarelado, este vinho exibe aromas animais e toques de alcaçuz. No nariz, também revela notas florais, ervas, tabaco e especiarias doces que envolvem suas frutas vermelhas maduras, que se confirmam no palato. Preciso, austero e refinado, apresenta taninos firmes e finos, com um final cheio e persistente, marcado por nuances terrosas, cogumelos e cerejas. Cheio e imponente, está excelente para beber hoje após uma hora no decanter, mas promete evoluir ainda mais na próxima década.",,Clássico,Pedigree,Élevage,Itália,Piemonte,Curadoria,https://drive.google.com/file/d/1OCKuzyaf93T89tKbYGeAEranuCzuA9wV/view?usp=drivesdk
,Barrat-Masson,Champagne Barrat-Masson Fleur de Craie NV,https://uvavinhos.com.br/produto/barrat-masson-fleur-de-craie-nv/,Chardonnay,NV,Espumante,835.0,TRUE,"Cor amarelo-pálida com reflexos esverdeados. O nariz combina maçã verde, flores brancas, giz e leve nota cítrica. Em boca, a mousse é fina, a acidez é firme e a tensão domina o estilo. Há mineralidade evidente e estrutura muito precisa, com fruta contida. O centro de boca é estreito e reto, típico de vinhos calcários de alta energia. O final é seco, salino e muito limpo.",Guardar,Nerd,Refrescante,Uva Vinhos,França,Champagne,Curadoria,https://drive.google.com/file/d/1TiGC_uWL2bOH5FFHlitdYwf1Pn5n5wdp/view?usp=drivesdk
,Benoît Marguet,Champagne Benoît Marguet Shaman Grand Cru Nature 2021,https://glouglou.com.br/products/champagne-marguet-shaman-21-grand-cru-nature,Pinot Noir e Chardonnay,2021,Espumante,1425.0,TRUE,"Amarelo claro, de brilho intenso e aparência precisa na taça. O nariz é franco, com maçã fresca, pera, limão e um toque sutil de amêndoa e pão delicado, sem excesso de autólise. Em boca é seco e vibrante, com acidez firme que conduz o vinho e sustenta a estrutura sem deixá-lo pesado. A textura tem presença e profundidade, mas trabalha mais na tensão do que na cremosidade. Final longo, com sensação mineral nítida e conjunto muito bem definido.",Beber,Curioso,Refrescante,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/1haVvMdXTFwe8OMMIrm9TOfu1z8wsBGuG/view?usp=drivesdk
,Benoît Marguet,Champagne Benoît Marguet Shaman Grand Cru Nature Magnum 2021,https://glouglou.com.br/products/champagne-marguet-shaman-grand-21-cru-extra-brut-magnum,Chardonnay e Pinot Noir,2021,Espumante,3375.0,TRUE,"Amarelo claro e brilhante. O nariz é expressivo, com maçã fresca, pera, frutas cítricas e leve nota de pão e amêndoa, mantendo perfil limpo e bem delineado. Em boca é seco, com acidez firme e textura precisa, equilibrando energia e certa amplitude natural do vinho. A fruta é nítida, sustentada por estrutura consistente e boa integração. Final longo, com sensação mineral clara e conjunto muito bem amarrado.",Beber,Curioso,Refrescante,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/1JvDjl7kZGXjb7-e_bMlUDwNw4Z6V90IS/view?usp=drivesdk
,Benoît Marguet,Champagne Benoît Marguet Shaman Rosé Grand Cru Nature 2021,https://glouglou.com.br/products/champagne-marguet-shaman-rose-21-grand-cru-nature,Pinot Noir e Chardonnay,2021,Espumante,1425.0,TRUE,"De tonalidade salmão clara e aspecto brilhante, já sugere elegância. O nariz é preciso, com framboesa fresca, romã e um toque sutil de casca de laranja, além de leve nota floral que mantém o perfil refinado. Em boca é seco e bem estruturado, com acidez firme dando condução e sustentando a fruta sem excesso. A textura é tensa, mais sobre energia do que cremosidade. Fecha longo, com sensação limpa e caráter mineral evidente.",Beber,Curioso,Refrescante,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/1ZjAvwG0ythX4iCwjKnvMsPV4tPWSea4G/view?usp=drivesdk
,Benoît Marguet,Champagne Benoît Marguet Shaman Rosé Grand Cru Nature Magnum 2021,https://glouglou.com.br/products/champagne-marguet-shaman-rose-21-grand-cru-nature-magnum,Pinot Noir e Chardonnay,2021,Espumante,3375.0,TRUE,"De tonalidade salmão clara e aspecto brilhante, já sugere elegância. O nariz é preciso, com framboesa fresca, romã e um toque sutil de casca de laranja, além de leve nota floral que mantém o perfil refinado. Em boca é seco e bem estruturado, com acidez firme dando condução e sustentando a fruta sem excesso. A textura é tensa, mais sobre energia do que cremosidade. Fecha longo, com sensação limpa e caráter mineral evidente.",Beber,Curioso,Refrescante,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/12vaDQpEBlDI98G0DBYqLX6l4yWKqZQXP/view?usp=drivesdk
,Bérèche et Fils,Champagne Bérèche et Fils Campania Remensis Millésime 2017,https://www.animavinum.com.br/produto/champagne-campania-remensis-millesime-2017-1092,"Pinot Noir, Chardonnay, Pinot Meunier e Coteaux Champenois Rouge",2017,Espumante,990.0,TRUE,"Rosa pálido com reflexos acobreados. O nariz oferece cereja fresca, romã, ervas secas e notas minerais. Em boca, há tensão firme, acidez alta e textura muito definida. O centro de boca combina profundidade e frescor, com estrutura séria para um rosé. Final longo, vibrante, levemente salino.",Guardar,Nerd,Pedigree,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/13qHtt0QHU6dNUimKgj5K95eJzMz7vXck/view?usp=drivesdk
,Bourgeois-Diaz,Champagne Bourgeois-Diaz BD'3C Nature (3 Cépages) NV,https://glouglou.com.br/products/bourgeois-diaz-bd3c-3-cepages-nature,"Pinot Noir, Pinot Meunier e Chardonnay",NV,Espumante,1170.0,TRUE,"Apresenta coloração entre pêssego e cobre claro, com perlage fina e elegante. No nariz, combina notas de maçã madura, limão e toques de fermento e panificação, sugerindo uma leve evolução. Em boca, mostra-se seco, com acidez alta bem integrada, textura cremosa e frescor constante. A fruta amarela se destaca junto a especiarias suaves e leve mineralidade. Um espumante refinado, sutilmente complexo e absolutamente versátil.",Beber,Natureba,Refrescante,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/1QRi_lqM74UEKBKMgtn0gxHHQfbVhvFHg/view?usp=drivesdk
,Bourgeois-Diaz,Champagne Bourgeois-Diaz BD'B (Blanc de Blancs-Nature) NV,https://glouglou.com.br/products/champagne-bourgeois-diaz-bdb-blanc-de-blancs-nature,Chardonnay,NV,Espumante,1875.0,TRUE,"Mais contido no início, vai abrindo aos poucos em notas de casca de limão, maçã verde e um toque discreto de flores brancas, com leve lembrança de amêndoa crua. A boca chama mais atenção que o nariz, com ataque firme e seco, acidez alta e textura que mistura energia e certa cremosidade natural. Não trabalha no volume, mas na precisão, mantendo a fruta em segundo plano diante da tensão. O conjunto é direto e sem concessões. Termina incisivo, deixando sensação calcária e bem definida.",Guardar ou Beber,Nerd,Contemplativo,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/13WlvteOViu00QpWo0-zXVUWAHy3ja3Uy/view?usp=drivesdk
,Bourgeois-Diaz,Champagne Bourgeois-Diaz BD'N Blanc de Noirs Nature NV,https://glouglou.com.br/products/champagne-bourgeois-diaz-bdn-blanc-de-noirs-nature,Pinot Noir,NV,Espumante,1425.0,TRUE,"Amarelo de boa intensidade, com leve reflexo dourado. O nariz é mais amplo, trazendo maçã madura, pera, um toque de fruta seca e leve nuance tostada. Em boca tem mais presença, com textura firme e acidez marcante equilibrando a estrutura típica de um blanc de noirs sem dosagem. É seco e direto, mas não austero, há volume sustentando o conjunto. Final limpo, persistente, com leve sensação salina e fruta mais contida no retrogosto.",Guardar ou Beber,Nerd,Contemplativo,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/1bkfXRWUBHU4YwxF-nCDz9FzFPOgYC_PN/view?usp=drivesdk
,Dhondt Grellet,Champagne Dhondt Grellet Les Terres Fines Extra Brut NV,https://www.animavinum.com.br/produto/champagne-extra-brut-les-terres-fines-64,Chardonnay,NV,Espumante,858.0,TRUE,"O nariz combina maçã madura, casca de limão e um toque de fermento e giz. Em boca, a textura é densa, de acidez firme e mousse muito bem calibrada. Há amplitude e estrutura, mas um leve traço oxidativo surge com o tempo em taça. O final é salino, longo e equilibrado. O vinho continua excelente, mas a base atual parece um pouco mais rica, menos vibrante que em degorgements anteriores. Um Champagne de referência, que equilibra pureza e profundidade com naturalidade.",Beber,Nerd,Pedigree,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1qCbN5FKtYW3WROPX2ZTt47VCEKIcBs4I/view?usp=drivesdk
,Jean-Marc Sélèque,Champagne Jean-Marc Sélèque Extra Brut Solessence NV,https://www.animavinum.com.br/produto/champagne-extra-brut-solessence-72,"Chardonnay, Pinot Noir",NV,Espumante,554.0,TRUE,,,Curioso,Contemplativo,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1UFQ_rIMKmiXsod_G45MwOo7V-uAJq0a4/view?usp=drivesdk
,Domaine R. Pouillon et Fils,Champagne Domaine R. Pouillon et Fils Extra Brut Reserve NV,https://www.animavinum.com.br/produto/champagne-extra-brut-reserve-79,"Chardonnay, Pinot Noir",NV,Espumante,541.0,TRUE,,,Clássico,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1_apUzbolmgg90FKZ7zQWCPwN99jw8jKt/view?usp=drivesdk
,Doyard,Champagne Doyard Grand Cru Revolution NV,https://www.animavinum.com.br/produto/champagne-grand-cru-revolution-1381,Chardonnay,NV,Espumante,1126.0,TRUE,,Guardar,Nerd,Pedigree,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1mYR0zsCJuKZ_1TFDHReJi1rA5m0g4QnA/view?usp=drivesdk
,Franck Bonville,Champagne Franck Bonville Extra Brut Pur Mesnil Grand Cru NV,https://www.wines4u.com.br/champagne-extra-brut-pur-mesnil-grand-cru-blanc-de-blancs-2018-,Chardonnay,NV,Espumante,1188.0,TRUE,,Beber,Natureba,Refrescante,Wines4U,França,Champagne,Curadoria,https://drive.google.com/file/d/1dwvx9ex03d_dBSRkkuT3Tn8Q_T8txlZw/view?usp=drivesdk
,Franck Bonville,Champagne Franck Bonville Extra Brut Pur Oger Grand Cru NV,https://www.wines4u.com.br/champagne-extra-brut-pur-oger-grand-cru-blanc-de-blancs-2018-franck-,Chardonnay,NV,Espumante,1188.0,TRUE,,Beber,Natureba,Refrescante,Wines4U,França,Champagne,Curadoria,https://drive.google.com/file/d/178X9HChGVSJyfHcf8_iVPFyLTyVdyr_M/view?usp=drivesdk
,Frédéric Savart,Champagne Frédéric Savart 1er Cru Bulle de Rose NV,https://www.animavinum.com.br/produto/champagne-1er-cru-bulle-de-rose-1091,Pinot Noir e Chardonnay,NV,Espumante,1104.0,TRUE,,Guardar ou Beber,Nerd,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1Og6LUn-pKEWYpS8vbEqeff2Sc7AdzA0J/view?usp=drivesdk
